highest,episode,time
1,1,00:00:06
2,74,00:00:35
3,85,00:00:37
4,71,00:00:38
5,96,00:00:43
6,98,00:00:43
7,97,00:00:44
8,111,00:00:45
9,109,00:00:51
10,155,00:01:02
11,164,00:01:06
12,176,00:01:10
13,194,00:01:17
14,252,00:01:39
15,259,00:01:42
16,254,00:01:42
17,288,00:01:51
18,296,00:01:57
19,310,00:02:03
20,317,00:02:07
21,328,00:02:10
22,320,00:02:12
23,319,00:02:13
24,323,00:02:13
25,331,00:02:14
26,344,00:02:19
27,338,00:02:21
28,340,00:02:21
29,352,00:02:22
30,348,00:02:23
31,355,00:02:23
32,354,00:02:25
33,366,00:02:27
34,357,00:02:28
35,360,00:02:28
36,367,00:02:31
37,361,00:02:32
38,372,00:02:32
39,391,00:02:40
40,388,00:02:40
41,396,00:02:42
42,403,00:02:45
43,401,00:02:45
44,392,00:02:46
45,417,00:02:51
46,416,00:02:52
47,419,00:02:53
48,539,00:03:34
49,564,00:03:46
50,574,00:03:49
51,582,00:03:55
52,658,00:04:22
53,663,00:04:22
54,702,00:04:40
55,716,00:04:42
56,737,00:04:48
57,787,00:05:06
58,781,00:05:08
59,827,00:05:25
60,841,00:05:27
61,830,00:05:27
62,857,00:05:28
63,860,00:05:30
64,856,00:05:32
65,956,00:06:06
66,969,00:06:08
67,980,00:06:09
68,1148,00:07:00
69,1161,00:07:01
70,1187,00:07:09
71,1189,00:07:09
72,1183,00:07:10
73,1197,00:07:10
74,1177,00:07:10
75,1182,00:07:10
76,1216,00:07:17
77,1244,00:07:24
78,1242,00:07:25
79,1243,00:07:26
80,1248,00:07:27
81,1464,00:08:27
82,1482,00:08:29
83,1483,00:08:31
84,1541,00:08:44
85,1552,00:08:46
86,1542,00:08:46
87,1860,00:10:01
88,1903,00:10:11
89,2146,00:11:06
90,2892,00:13:39
91,3165,00:14:30
92,3188,00:14:35
93,3187,00:14:37
94,5402,00:21:29
95,5398,00:21:30
96,5411,00:21:30
97,6472,00:24:49
98,6481,00:24:50
