highest,episode,time
1,18,00:00:07
2,45,00:00:21
3,56,00:00:25
4,67,00:00:29
5,83,00:00:38
6,88,00:00:40
7,91,00:00:41
8,90,00:00:41
9,93,00:00:41
10,100,00:00:47
11,123,00:00:54
12,133,00:00:58
13,144,00:01:04
14,142,00:01:04
15,140,00:01:05
16,148,00:01:08
17,151,00:01:09
18,146,00:01:10
19,156,00:01:11
20,152,00:01:14
21,164,00:01:14
22,159,00:01:14
23,157,00:01:14
24,163,00:01:16
25,160,00:01:16
26,172,00:01:18
27,178,00:01:20
28,175,00:01:20
29,184,00:01:22
30,173,00:01:23
31,186,00:01:24
32,191,00:01:26
33,185,00:01:26
34,195,00:01:30
35,190,00:01:30
36,203,00:01:33
37,205,00:01:34
38,201,00:01:34
39,223,00:01:44
40,225,00:01:45
41,218,00:01:45
42,233,00:01:46
43,236,00:01:47
44,240,00:01:47
45,237,00:01:47
46,244,00:01:50
47,250,00:01:51
48,227,00:01:52
49,242,00:01:52
50,245,00:01:55
51,319,00:02:26
52,321,00:02:29
53,336,00:02:32
54,393,00:02:54
55,385,00:02:56
56,389,00:02:57
57,399,00:02:58
58,400,00:03:03
59,415,00:03:04
60,410,00:03:04
61,403,00:03:04
62,436,00:03:15
63,459,00:03:19
64,457,00:03:20
65,463,00:03:20
66,465,00:03:21
67,467,00:03:25
68,518,00:03:40
69,526,00:03:41
70,524,00:03:42
71,523,00:03:42
72,528,00:03:42
73,538,00:03:46
74,542,00:03:48
75,569,00:03:56
76,566,00:03:57
77,551,00:03:57
78,572,00:03:59
79,590,00:04:02
80,593,00:04:02
81,592,00:04:03
82,594,00:04:07
83,810,00:05:11
84,808,00:05:11
85,828,00:05:16
86,860,00:05:22
87,873,00:05:27
88,877,00:05:28
89,1507,00:07:55
90,2515,00:11:35
91,3652,00:15:39
92,3689,00:15:48
93,4418,00:18:15
94,4427,00:18:15
95,8726,00:31:51
96,10414,00:37:12
97,10427,00:37:12
98,10438,00:37:15
99,66801,03:27:50
100,84248,04:20:31
