highest,episode,time
1,53,00:02:17
2,64,00:02:46
3,63,00:02:50
4,76,00:03:15
5,80,00:03:23
6,88,00:03:57
7,97,00:04:14
8,116,00:05:24
9,121,00:05:30
10,120,00:05:31
11,155,00:07:12
12,199,00:09:37
13,210,00:10:22
14,218,00:10:34
15,228,00:10:54
16,237,00:11:35
17,350,00:16:57
18,419,00:19:57
19,460,00:22:18
20,482,00:23:23
21,551,00:26:24
22,549,00:26:32
23,560,00:26:36
24,605,00:29:05
25,600,00:29:06
26,603,00:29:10
27,612,00:29:11
28,637,00:31:04
29,647,00:31:11
30,652,00:31:19
31,649,00:31:19
32,651,00:31:19
33,663,00:31:43
34,664,00:31:46
35,668,00:32:23
36,678,00:32:32
37,681,00:32:35
38,686,00:32:47
39,708,00:33:45
40,712,00:33:48
41,710,00:33:52
42,717,00:34:00
43,731,00:34:16
44,734,00:34:22
45,764,00:35:35
46,773,00:35:45
47,775,00:36:15
48,788,00:36:33
49,797,00:36:53
50,820,00:38:07
51,856,00:39:27
52,858,00:39:30
53,870,00:40:12
54,868,00:40:13
55,882,00:40:19
56,876,00:40:23
57,956,00:43:18
58,962,00:43:21
59,968,00:43:25
60,1002,00:44:31
61,1024,00:45:18
62,1034,00:45:22
63,1032,00:45:24
64,1040,00:45:34
65,1036,00:45:36
66,1044,00:45:41
67,1048,00:45:43
68,1054,00:45:53
69,1051,00:45:56
70,1062,00:46:00
71,1107,00:48:03
72,1127,00:48:14
73,1121,00:48:14
74,1132,00:48:18
75,1159,00:49:17
76,1190,00:49:48
77,1197,00:49:59
78,1202,00:49:59
79,1208,00:50:30
80,1219,00:50:38
81,1231,00:50:48
82,1224,00:50:50
83,1226,00:50:52
84,1237,00:50:55
85,1240,00:51:06
86,1243,00:51:09
87,1260,00:51:48
88,1261,00:51:49
89,1281,00:52:01
90,1285,00:52:04
91,1279,00:52:04
92,1280,00:52:07
93,1815,01:02:45
94,1819,01:02:54
95,1837,01:03:31
96,1867,01:03:48
97,3626,01:31:14
98,4889,01:46:42
99,5689,01:55:57
100,14014,03:10:00
