highest,episode,time
1,39,00:01:14
2,36,00:01:17
3,41,00:01:43
4,100,00:03:24
5,104,00:03:30
6,111,00:03:42
7,126,00:04:13
8,484,00:19:18
9,511,00:20:26
10,523,00:21:16
11,565,00:23:29
12,573,00:23:43
13,574,00:24:09
14,585,00:24:37
15,589,00:24:39
16,591,00:24:59
17,604,00:25:45
18,610,00:26:01
19,641,00:27:38
20,668,00:28:42
21,667,00:29:02
22,862,00:38:27
23,866,00:38:35
24,870,00:38:38
25,875,00:38:41
26,877,00:38:50
27,883,00:39:19
28,905,00:40:17
29,908,00:40:25
30,920,00:40:57
31,917,00:40:58
32,925,00:41:07
33,921,00:41:07
34,928,00:41:11
35,924,00:41:13
36,926,00:41:36
37,941,00:41:51
38,946,00:42:02
39,947,00:42:07
40,950,00:42:26
41,958,00:42:45
42,955,00:42:45
43,957,00:42:47
44,1007,00:45:07
45,1000,00:45:09
46,1012,00:45:16
47,1009,00:45:19
48,1018,00:45:44
49,1024,00:45:51
50,1028,00:45:56
51,1032,00:46:09
52,1037,00:46:31
53,1041,00:46:37
