highest,episode,time
1,39,00:00:23
2,52,00:00:24
3,61,00:00:31
4,80,00:00:33
5,85,00:00:35
6,84,00:00:35
7,82,00:00:36
8,87,00:00:36
9,147,00:00:58
10,152,00:00:58
11,199,00:01:26
12,221,00:01:28
13,225,00:01:31
14,223,00:01:32
15,230,00:01:33
16,227,00:01:33
17,224,00:01:35
18,245,00:01:38
19,233,00:01:39
20,235,00:01:42
21,250,00:01:43
22,254,00:01:44
23,263,00:01:47
24,261,00:01:50
25,282,00:01:56
26,275,00:01:57
27,280,00:02:02
28,293,00:02:03
29,299,00:02:06
30,311,00:02:12
31,316,00:02:13
32,323,00:02:18
33,360,00:02:37
34,367,00:02:38
35,362,00:02:40
36,366,00:02:40
37,368,00:02:40
38,363,00:02:40
39,379,00:02:46
40,389,00:02:52
41,411,00:02:57
42,407,00:02:58
43,418,00:03:05
44,441,00:03:11
45,440,00:03:11
46,443,00:03:12
47,453,00:03:16
48,457,00:03:18
49,465,00:03:19
50,458,00:03:21
51,517,00:03:41
52,529,00:03:45
53,554,00:03:52
54,579,00:04:05
55,597,00:04:09
56,594,00:04:09
57,615,00:04:14
58,614,00:04:15
59,617,00:04:17
60,613,00:04:17
61,626,00:04:19
62,606,00:04:20
63,628,00:04:21
64,637,00:04:22
65,635,00:04:24
66,644,00:04:24
67,653,00:04:26
68,656,00:04:28
69,785,00:05:16
70,822,00:05:31
71,828,00:05:31
72,830,00:05:32
73,898,00:05:54
74,1141,00:07:04
75,1145,00:07:05
76,1278,00:07:44
77,1288,00:07:44
78,1293,00:07:46
79,1565,00:09:00
80,1577,00:09:01
81,1839,00:10:30
82,1836,00:10:30
83,1845,00:10:32
84,1844,00:10:33
85,1914,00:10:55
86,1926,00:11:01
87,1949,00:11:04
88,1943,00:11:05
89,1954,00:11:05
90,1956,00:11:08
91,1967,00:11:12
92,4937,00:27:07
93,5760,00:31:13
94,5743,00:31:14
