highest,episode,time
1,2,00:00:05
2,43,00:00:19
3,55,00:00:22
4,67,00:00:32
5,77,00:00:36
6,93,00:00:38
7,112,00:00:52
8,110,00:00:55
9,122,00:00:56
10,128,00:00:58
11,129,00:01:00
12,134,00:01:02
13,147,00:01:05
14,148,00:01:05
15,150,00:01:08
16,172,00:01:15
17,181,00:01:20
18,184,00:01:21
19,187,00:01:21
20,207,00:01:30
21,205,00:01:34
22,223,00:01:36
23,213,00:01:37
24,295,00:02:08
25,293,00:02:08
26,301,00:02:13
27,311,00:02:14
28,309,00:02:15
29,323,00:02:21
30,321,00:02:23
31,312,00:02:23
32,348,00:02:29
33,345,00:02:32
34,360,00:02:33
35,361,00:02:37
36,365,00:02:38
37,362,00:02:38
38,376,00:02:42
39,383,00:02:44
40,377,00:02:45
41,390,00:02:46
42,400,00:02:51
43,393,00:02:55
44,413,00:02:59
45,407,00:02:59
46,422,00:03:01
47,418,00:03:03
48,427,00:03:04
49,433,00:03:04
50,428,00:03:04
51,455,00:03:10
52,454,00:03:11
53,456,00:03:13
54,458,00:03:13
55,457,00:03:13
56,447,00:03:14
57,468,00:03:20
58,463,00:03:20
59,480,00:03:21
60,478,00:03:23
61,484,00:03:24
62,490,00:03:30
63,502,00:03:32
64,517,00:03:39
65,512,00:03:39
66,569,00:04:01
67,580,00:04:02
68,571,00:04:02
69,709,00:04:50
70,712,00:04:50
71,715,00:04:52
72,757,00:05:08
73,784,00:05:14
74,855,00:05:36
75,1007,00:06:21
76,1028,00:06:29
77,1021,00:06:31
78,1034,00:06:31
79,1029,00:06:31
80,1136,00:06:58
81,1139,00:06:59
82,1138,00:07:00
83,1135,00:07:03
84,1160,00:07:05
85,1162,00:07:07
86,1176,00:07:10
87,1298,00:07:44
88,1291,00:07:45
89,1773,00:09:41
90,1786,00:09:47
91,2841,00:13:22
92,2842,00:13:23
93,2853,00:13:24
94,4564,00:21:24
95,4568,00:21:38
96,4594,00:21:42
97,10363,00:45:57
