highest,episode,time
1,25,00:00:03
2,28,00:00:08
3,33,00:00:36
4,38,00:01:18
5,40,00:01:23
6,41,00:01:24
7,50,00:01:31
8,53,00:01:37
9,56,00:02:03
10,68,00:02:13
11,73,00:02:18
12,76,00:02:23
13,81,00:02:34
14,88,00:03:00
15,95,00:03:06
16,97,00:03:14
17,104,00:03:28
18,105,00:03:28
19,113,00:03:59
20,115,00:04:04
21,119,00:04:08
22,121,00:04:09
23,125,00:04:13
24,131,00:04:22
25,160,00:05:12
26,196,00:06:47
27,206,00:06:56
28,207,00:07:01
29,216,00:07:15
30,221,00:07:19
31,252,00:08:47
32,255,00:08:58
33,311,00:11:32
34,390,00:13:39
35,392,00:13:46
36,393,00:13:47
37,394,00:13:48
38,411,00:14:27
39,429,00:14:43
40,430,00:14:45
41,432,00:14:48
42,440,00:15:18
43,473,00:16:19
44,500,00:16:55
45,502,00:16:55
46,506,00:17:17
47,524,00:17:40
48,526,00:17:44
49,532,00:17:55
50,533,00:17:56
51,538,00:18:27
52,2467,01:03:13
53,2992,01:11:49
54,2998,01:11:52
55,3103,01:13:04
56,4464,01:36:04
57,4468,01:36:06
58,4472,01:36:07
59,4474,01:36:08
60,4475,01:36:08
61,4487,01:36:15
62,6059,02:01:03
63,6060,02:01:03
64,6103,02:01:27
65,6104,02:01:28
66,8982,02:44:45
67,9037,02:45:35
68,9038,02:45:38
69,10867,03:09:33
70,14880,04:01:13
71,14881,04:01:14
72,16900,04:26:56
73,16905,04:26:59
74,16906,04:27:01
75,21077,05:17:16
76,22284,05:31:46
