highest,episode,time
1,50,00:00:11
2,62,00:00:13
3,72,00:00:14
4,75,00:00:15
5,77,00:00:17
6,99,00:00:21
7,111,00:00:26
8,122,00:00:29
9,117,00:00:32
10,147,00:00:38
11,148,00:00:39
12,196,00:00:51
13,197,00:00:53
14,244,00:01:03
15,251,00:01:05
16,264,00:01:08
17,242,00:01:09
18,268,00:01:09
19,307,00:01:23
20,334,00:01:24
21,331,00:01:24
22,341,00:01:26
23,325,00:01:26
24,489,00:01:53
25,490,00:01:53
26,550,00:02:04
27,634,00:02:17
28,628,00:02:17
29,627,00:02:18
30,635,00:02:18
31,725,00:02:33
32,722,00:02:34
33,867,00:03:04
34,872,00:03:04
35,868,00:03:05
36,885,00:03:07
37,909,00:03:12
38,880,00:03:12
39,911,00:03:12
40,904,00:03:13
41,917,00:03:14
42,1063,00:03:40
43,1096,00:03:46
44,1108,00:03:54
45,1132,00:03:55
46,1136,00:03:55
47,1143,00:03:56
48,1134,00:03:56
49,1306,00:04:29
50,1308,00:04:30
51,1311,00:04:30
52,1397,00:04:46
53,1401,00:04:46
54,1407,00:04:49
55,1430,00:04:53
56,1449,00:04:53
57,1454,00:04:55
58,1460,00:04:57
59,1469,00:04:58
60,1470,00:04:58
61,1511,00:05:06
62,1521,00:05:07
63,1520,00:05:07
64,1516,00:05:07
65,1537,00:05:10
66,1526,00:05:10
67,1554,00:05:14
68,1566,00:05:16
69,1578,00:05:17
70,1543,00:05:17
71,1597,00:05:20
72,1600,00:05:20
73,2154,00:06:50
74,2165,00:06:51
75,2594,00:07:55
76,2605,00:07:56
77,2620,00:07:56
78,2651,00:08:01
79,2659,00:08:03
80,3225,00:09:14
81,3223,00:09:14
82,3233,00:09:16
83,3249,00:09:17
84,3361,00:09:33
85,3373,00:09:34
86,3368,00:09:34
87,5158,00:13:01
88,6346,00:15:18
89,9374,00:21:02
90,9360,00:21:03
