highest,episode,time
1,6,00:00:09
2,29,00:00:25
3,77,00:01:30
4,94,00:01:58
5,126,00:02:38
6,131,00:02:44
7,166,00:03:21
8,225,00:04:51
9,239,00:05:00
10,536,00:11:26
11,570,00:12:02
12,673,00:14:21
13,692,00:14:51
14,694,00:14:54
15,712,00:15:10
16,730,00:15:34
17,857,00:18:26
18,1076,00:23:16
19,1082,00:23:21
20,1089,00:23:21
21,1090,00:23:26
22,1098,00:23:46
23,1097,00:23:47
24,1262,00:27:26
25,1339,00:28:44
26,1337,00:28:44
27,1336,00:28:47
28,1346,00:29:05
29,1355,00:29:11
30,1360,00:29:12
31,1490,00:32:08
32,1501,00:32:10
33,1502,00:32:13
34,1508,00:32:14
35,1504,00:32:14
36,1553,00:33:18
37,1552,00:33:20
38,1564,00:33:20
39,1557,00:33:23
40,1633,00:35:01
41,1647,00:35:11
42,1649,00:35:16
43,1652,00:35:20
44,1667,00:35:40
45,1741,00:37:00
46,1923,00:40:36
47,1928,00:40:37
48,1934,00:40:39
49,1935,00:40:55
50,1940,00:40:56
51,1938,00:40:57
52,1946,00:41:00
53,1979,00:41:34
54,1983,00:41:36
55,1982,00:41:37
56,2328,00:47:47
57,2343,00:48:07
58,2336,00:48:07
59,2348,00:48:12
60,2346,00:48:12
61,2367,00:48:20
62,2366,00:48:23
63,2370,00:48:37
64,2378,00:48:42
65,2375,00:48:43
66,2376,00:48:43
67,2379,00:48:43
68,2372,00:48:45
69,2394,00:48:47
70,2392,00:48:47
71,2391,00:48:47
72,2402,00:48:49
73,2412,00:49:16
74,2421,00:49:17
75,2414,00:49:18
76,2420,00:49:19
77,2434,00:49:26
78,2718,00:53:29
79,2728,00:53:29
80,2724,00:53:31
81,2726,00:53:35
82,2741,00:53:36
83,2747,00:53:38
84,2754,00:53:55
85,2759,00:53:58
86,3025,00:56:35
87,3100,00:57:12
88,3112,00:57:14
89,3144,00:57:37
90,3140,00:57:37
91,3267,00:58:24
92,3265,00:58:41
93,3272,00:58:43
94,3274,00:58:44
95,3301,00:58:51
96,3531,01:00:29
97,3525,01:00:29
98,8441,01:22:47
99,14957,01:43:56
100,14961,01:43:57
