highest,episode,time
1,36,00:00:12
2,69,00:00:24
3,63,00:00:25
4,79,00:00:30
5,107,00:00:39
6,111,00:00:43
7,119,00:00:44
8,122,00:00:45
9,128,00:00:48
10,135,00:00:51
11,143,00:00:54
12,149,00:00:55
13,217,00:01:31
14,269,00:01:44
15,264,00:01:44
16,271,00:01:44
17,279,00:01:45
18,278,00:01:45
19,274,00:01:46
20,273,00:01:46
21,277,00:01:47
22,276,00:01:47
23,263,00:01:50
24,283,00:01:51
25,290,00:01:52
26,297,00:01:53
27,305,00:01:56
28,301,00:01:56
29,304,00:01:56
30,311,00:02:00
31,321,00:02:01
32,306,00:02:02
33,362,00:02:17
34,391,00:02:29
35,406,00:02:33
36,428,00:02:36
37,421,00:02:39
38,437,00:02:39
39,451,00:02:45
40,464,00:02:52
41,462,00:02:52
42,470,00:02:52
43,605,00:03:30
44,592,00:03:31
45,703,00:04:07
46,712,00:04:07
47,741,00:04:13
48,736,00:04:17
49,748,00:04:17
50,871,00:04:53
51,869,00:04:53
52,874,00:04:56
53,872,00:04:56
54,878,00:04:57
55,888,00:05:01
56,902,00:05:02
57,917,00:05:07
58,932,00:05:10
59,941,00:05:12
60,937,00:05:12
61,948,00:05:14
62,980,00:05:25
63,986,00:05:26
64,1001,00:05:30
65,997,00:05:30
66,1002,00:05:30
67,1007,00:05:31
68,1018,00:05:32
69,1023,00:05:39
70,1043,00:05:40
71,1042,00:05:41
72,1060,00:05:48
73,1189,00:06:24
74,1196,00:06:28
75,1207,00:06:29
76,1430,00:07:23
77,1431,00:07:24
78,1424,00:07:24
79,1433,00:07:24
80,1447,00:07:27
81,1880,00:08:58
82,1885,00:08:59
83,1886,00:09:01
84,1906,00:09:07
85,2445,00:10:34
86,2446,00:10:34
87,2449,00:10:36
88,2452,00:10:37
89,6059,00:18:45
90,6049,00:18:46
91,6046,00:18:46
92,6068,00:18:46
