highest,episode,time
1,7,00:00:07
2,11,00:00:17
3,38,00:01:10
4,49,00:01:42
5,59,00:01:53
6,60,00:01:54
7,86,00:02:47
8,97,00:03:14
9,99,00:03:19
10,121,00:03:53
11,131,00:04:04
12,565,00:21:19
13,568,00:21:26
14,569,00:21:30
15,580,00:21:40
16,730,00:28:59
17,736,00:29:01
18,734,00:29:02
19,743,00:29:08
20,738,00:29:09
21,744,00:29:13
22,794,00:31:31
23,791,00:31:31
24,797,00:31:35
25,808,00:32:20
26,961,00:39:39
27,965,00:40:07
28,969,00:40:08
29,991,00:41:06
30,1053,00:44:16
31,1064,00:44:49
32,1066,00:44:59
33,1079,00:45:33
34,1111,00:47:05
35,1141,00:48:03
36,1249,00:52:37
37,1266,00:53:17
38,1273,00:53:23
39,1271,00:53:25
40,1278,00:53:37
41,1284,00:54:00
42,1291,00:54:04
43,1288,00:54:07
44,1290,00:54:13
45,1304,00:54:47
46,1311,00:54:50
47,1314,00:54:58
48,1350,00:55:59
49,1425,00:58:51
50,1427,00:58:57
51,1434,00:58:58
52,1558,01:02:49
53,1555,01:02:52
54,1561,01:02:52
55,1553,01:02:54
56,1564,01:02:58
57,1566,01:03:01
58,1571,01:03:20
59,1572,01:03:20
60,1569,01:03:22
61,1573,01:03:26
62,1574,01:03:32
63,1579,01:03:33
64,1588,01:03:37
65,1584,01:03:37
66,1630,01:04:57
67,1637,01:05:04
68,1696,01:06:45
69,1707,01:06:55
70,1830,01:10:17
71,1862,01:11:16
72,1902,01:11:57
73,1908,01:12:04
74,2119,01:17:00
75,2120,01:17:16
76,2136,01:17:34
77,2145,01:17:35
78,2148,01:17:40
79,2217,01:19:11
80,2219,01:19:12
81,2588,01:26:49
82,2592,01:26:51
83,2589,01:26:52
84,2987,01:34:05
85,2989,01:34:06
86,2996,01:34:08
87,3001,01:34:10
88,2997,01:34:13
89,3006,01:34:15
90,3652,01:46:04
91,4036,01:53:24
92,4699,02:05:03
93,4703,02:05:06
94,4706,02:05:06
95,4709,02:05:10
