highest,episode,time
1,48,00:01:52
2,84,00:03:09
3,88,00:03:24
4,102,00:03:28
5,111,00:04:00
6,122,00:04:15
7,127,00:04:44
8,371,00:13:23
9,377,00:13:48
10,375,00:13:50
11,538,00:19:34
12,558,00:20:16
13,557,00:20:19
14,632,00:23:09
15,630,00:23:10
16,643,00:23:47
17,640,00:23:48
18,639,00:23:49
19,699,00:26:16
20,733,00:27:59
21,736,00:28:21
22,789,00:30:54
23,795,00:31:00
24,791,00:31:01
25,856,00:34:10
26,865,00:34:14
27,947,00:37:52
28,1082,00:43:38
29,1129,00:45:58
30,1132,00:46:12
31,1133,00:46:13
32,1138,00:46:24
33,1147,00:46:37
34,1155,00:47:07
35,1173,00:47:57
36,1176,00:48:00
37,1213,00:49:25
38,1221,00:49:33
39,1218,00:49:36
40,1228,00:50:11
41,1233,00:50:12
42,1239,00:50:20
43,1274,00:51:49
44,1272,00:51:51
45,1305,00:53:11
46,1310,00:53:16
47,1315,00:53:18
48,1314,00:53:19
49,1319,00:53:24
50,1417,00:57:41
51,1410,00:57:42
52,1451,00:59:13
53,1455,00:59:18
54,1585,01:04:50
55,1663,01:08:05
56,1664,01:08:12
57,1666,01:08:14
58,1686,01:08:52
59,1683,01:08:55
60,1687,01:09:24
61,1703,01:10:07
62,1709,01:10:11
63,1710,01:10:11
64,1706,01:10:12
65,1715,01:10:16
66,1733,01:10:56
67,1735,01:10:56
68,1743,01:11:03
69,1738,01:11:09
70,1750,01:11:38
71,1776,01:12:38
72,1782,01:12:43
73,1780,01:12:47
74,1791,01:12:54
75,1793,01:13:17
76,1796,01:13:27
