highest,episode,time
1,28,00:01:28
2,57,00:02:14
3,82,00:03:37
4,102,00:04:34
5,146,00:06:50
6,167,00:07:40
7,223,00:11:20
8,396,00:20:28
9,437,00:22:17
10,442,00:22:34
11,444,00:23:02
12,820,00:42:04
13,823,00:42:08
14,831,00:42:45
15,835,00:43:00
16,866,00:44:36
17,879,00:44:45
18,875,00:44:53
19,874,00:45:16
20,914,00:46:57
21,937,00:48:02
22,945,00:48:25
23,947,00:48:30
24,981,00:50:08
25,986,00:50:32
26,1295,01:05:52
27,1294,01:05:53
28,1318,01:07:12
29,1333,01:07:56
30,1337,01:08:04
31,1341,01:08:16
32,1348,01:08:27
33,1364,01:09:13
34,1361,01:09:16
35,1370,01:09:36
36,1390,01:10:36
37,1389,01:10:37
38,1406,01:11:03
39,1662,01:22:27
40,1667,01:22:41
41,1665,01:22:46
42,1680,01:23:21
43,1675,01:23:31
44,1692,01:23:48
45,1688,01:23:49
46,1693,01:23:57
47,1703,01:24:03
48,1709,01:24:43
49,1734,01:25:26
50,1729,01:25:26
51,1759,01:26:44
52,1767,01:26:47
53,1758,01:26:50
54,1760,01:27:19
55,1774,01:27:23
56,1822,01:28:59
57,1900,01:31:48
58,1898,01:31:49
59,1897,01:31:49
60,1904,01:31:55
61,1910,01:32:03
62,1917,01:32:09
63,1924,01:32:49
64,1922,01:33:00
65,1937,01:33:02
66,1933,01:33:04
67,1949,01:33:19
68,1947,01:33:20
69,1957,01:33:59
70,1971,01:34:29
71,1979,01:34:37
72,1990,01:34:43
73,1983,01:34:46
74,1981,01:35:10
75,1989,01:35:11
76,2000,01:35:24
77,2075,01:38:10
78,2083,01:38:19
79,2089,01:38:19
80,2086,01:38:22
81,2129,01:39:35
82,2133,01:39:35
83,2139,01:39:38
84,2138,01:39:42
85,2154,01:40:33
86,2157,01:40:34
87,2168,01:40:35
88,2348,01:44:44
89,2363,01:45:02
90,2378,01:45:05
91,2375,01:45:06
92,2558,01:49:02
93,2574,01:49:08
94,2596,01:49:50
95,2660,01:51:15
96,3129,01:59:27
97,3162,02:00:13
98,3171,02:00:14
99,3178,02:00:23
100,8377,02:56:24
