highest,episode,time
1,49,00:00:12
2,66,00:00:15
3,93,00:00:21
4,89,00:00:21
5,104,00:00:24
6,110,00:00:25
7,102,00:00:27
8,121,00:00:35
9,131,00:00:41
10,151,00:00:46
11,149,00:00:52
12,175,00:00:57
13,179,00:01:00
14,187,00:01:00
15,195,00:01:02
16,200,00:01:09
17,207,00:01:09
18,265,00:02:08
19,290,00:02:12
20,319,00:02:21
21,326,00:02:24
22,329,00:02:25
23,334,00:02:26
24,364,00:02:35
25,444,00:02:52
26,447,00:02:53
27,457,00:02:53
28,448,00:02:54
29,449,00:02:54
30,468,00:02:54
31,484,00:02:57
32,499,00:03:00
33,500,00:03:00
34,502,00:03:01
35,507,00:03:02
36,497,00:03:02
37,518,00:03:03
38,506,00:03:03
39,772,00:04:00
40,774,00:04:01
41,786,00:04:02
42,779,00:04:02
43,787,00:04:02
44,790,00:04:03
45,763,00:04:03
46,777,00:04:03
47,796,00:04:03
48,798,00:04:04
49,781,00:04:04
50,795,00:04:04
51,802,00:04:06
52,811,00:04:06
53,799,00:04:06
54,806,00:04:08
55,801,00:04:08
56,821,00:04:08
57,1365,00:05:54
58,1372,00:05:56
59,1380,00:05:59
60,1381,00:05:59
61,1389,00:06:01
62,1512,00:06:29
63,1530,00:06:31
64,1537,00:06:31
65,1547,00:06:33
66,1560,00:06:35
67,1551,00:06:36
68,1562,00:06:37
69,1568,00:06:38
70,1558,00:06:40
71,1588,00:06:40
72,1582,00:06:41
73,1574,00:06:41
74,1583,00:06:41
75,1702,00:06:59
76,1691,00:07:01
77,1714,00:07:04
78,1734,00:07:08
79,1748,00:07:11
80,2407,00:08:58
81,2699,00:09:38
82,2705,00:09:39
83,2720,00:09:41
84,3035,00:10:26
85,3029,00:10:26
86,3081,00:10:34
87,3085,00:10:34
88,4201,00:13:08
89,4355,00:13:30
90,4405,00:13:36
91,6213,00:17:02
92,7655,00:19:32
93,7672,00:19:34
94,14246,00:29:09
95,22985,00:41:13
96,30205,00:50:51
97,41298,01:05:15
