highest,episode,time
1,16,00:00:05
2,10,00:00:05
3,28,00:00:12
4,37,00:00:13
5,42,00:00:13
6,39,00:00:14
7,33,00:00:15
8,53,00:00:17
9,49,00:00:17
10,55,00:00:19
11,50,00:00:20
12,64,00:00:22
13,70,00:00:26
14,76,00:00:29
15,89,00:00:31
16,93,00:00:33
17,95,00:00:34
18,96,00:00:34
19,101,00:00:37
20,94,00:00:38
21,97,00:00:39
22,106,00:00:39
23,99,00:00:41
24,118,00:00:42
25,113,00:00:45
26,122,00:00:46
27,129,00:00:46
28,149,00:00:50
29,151,00:00:52
30,157,00:00:55
31,188,00:01:00
32,359,00:01:41
