highest,episode,time
1,18,00:00:16
2,33,00:00:23
3,48,00:00:30
4,71,00:00:45
5,82,00:00:56
6,119,00:01:16
7,132,00:01:23
8,166,00:01:45
9,164,00:01:46
10,176,00:01:54
11,179,00:01:55
12,188,00:02:03
13,204,00:02:10
14,199,00:02:11
15,219,00:02:21
16,228,00:02:27
17,234,00:02:32
18,255,00:02:45
19,262,00:02:50
20,267,00:02:53
21,299,00:03:13
22,304,00:03:16
23,363,00:03:51
24,387,00:04:05
25,390,00:04:06
26,389,00:04:07
27,394,00:04:11
28,396,00:04:12
29,405,00:04:21
30,432,00:04:38
31,442,00:04:38
32,441,00:04:39
33,454,00:04:41
34,451,00:04:41
35,452,00:04:41
36,448,00:04:46
37,468,00:04:50
38,481,00:04:56
39,503,00:05:12
40,510,00:05:13
41,522,00:05:21
42,548,00:05:35
43,553,00:05:39
44,559,00:05:40
45,561,00:05:42
46,555,00:05:45
47,563,00:05:45
48,571,00:05:47
49,562,00:05:48
50,579,00:05:53
51,588,00:05:56
52,586,00:05:56
53,596,00:06:03
54,601,00:06:05
55,604,00:06:06
56,614,00:06:12
57,617,00:06:13
58,631,00:06:16
59,624,00:06:18
60,644,00:06:25
61,650,00:06:28
62,654,00:06:30
63,652,00:06:31
64,649,00:06:32
65,657,00:06:33
66,658,00:06:37
67,788,00:07:37
68,797,00:07:39
69,795,00:07:39
70,817,00:07:53
71,829,00:07:55
72,830,00:07:55
73,838,00:07:57
74,822,00:07:57
75,846,00:07:58
76,879,00:08:16
77,1034,00:09:27
78,1039,00:09:28
79,1041,00:09:28
80,1050,00:09:34
81,1059,00:09:41
82,1063,00:09:43
83,1212,00:10:37
84,1220,00:10:37
85,1215,00:10:37
86,1206,00:10:40
87,1225,00:10:41
88,1233,00:10:44
89,1247,00:10:50
90,1279,00:11:05
91,1370,00:11:35
92,1603,00:12:50
93,1604,00:12:51
94,1736,00:13:30
95,1740,00:13:31
96,1745,00:13:37
97,1813,00:13:55
98,3174,00:19:39
99,4535,00:24:13
100,4592,00:24:25
