highest,episode,time
1,3,00:00:05
2,15,00:00:10
3,19,00:00:11
4,32,00:00:20
5,59,00:00:34
6,84,00:00:47
7,90,00:00:53
8,100,00:00:57
9,164,00:01:25
10,167,00:01:26
11,157,00:01:28
12,173,00:01:30
13,182,00:01:35
14,183,00:01:38
15,189,00:01:38
16,190,00:01:39
17,195,00:01:40
18,203,00:01:44
19,216,00:01:50
20,219,00:01:54
21,220,00:01:56
22,222,00:01:58
23,227,00:01:58
24,224,00:02:00
25,232,00:02:00
26,239,00:02:05
27,237,00:02:06
28,234,00:02:11
29,246,00:02:11
30,241,00:02:11
31,252,00:02:12
32,258,00:02:19
33,248,00:02:21
34,263,00:02:26
35,271,00:02:27
36,272,00:02:31
37,297,00:02:45
38,313,00:02:55
39,329,00:03:06
40,321,00:03:09
41,336,00:03:10
42,353,00:03:19
43,356,00:03:21
44,369,00:03:29
45,365,00:03:29
46,382,00:03:40
47,385,00:03:41
48,380,00:03:42
49,390,00:03:42
50,377,00:03:42
51,392,00:03:45
52,400,00:03:47
53,416,00:03:56
54,413,00:03:58
55,436,00:04:05
56,426,00:04:06
57,437,00:04:06
58,434,00:04:06
59,435,00:04:07
60,445,00:04:08
61,418,00:04:08
62,442,00:04:09
63,451,00:04:13
64,463,00:04:20
65,454,00:04:25
66,497,00:04:48
67,491,00:04:49
68,693,00:06:28
69,698,00:06:30
70,697,00:06:32
71,701,00:06:32
72,729,00:06:57
73,748,00:07:05
74,751,00:07:06
75,746,00:07:07
76,754,00:07:07
77,769,00:07:15
78,776,00:07:16
79,774,00:07:16
80,788,00:07:19
81,806,00:07:32
82,816,00:07:34
83,808,00:07:35
84,825,00:07:42
85,1615,00:12:50
86,1654,00:13:06
87,2037,00:15:22
88,2042,00:15:22
89,2047,00:15:23
90,2049,00:15:24
91,2057,00:15:24
92,2054,00:15:26
93,5150,00:25:26
94,5148,00:25:26
95,5897,00:27:43
96,7147,00:31:26
97,7149,00:31:28
98,38377,01:55:18
99,52678,02:45:44
