highest,episode,time
1,7,00:00:04
2,1,00:00:08
3,2,00:00:09
4,21,00:00:23
5,48,00:01:03
6,70,00:01:32
7,69,00:01:32
8,87,00:01:59
9,101,00:02:21
10,321,00:07:40
11,361,00:08:49
12,652,00:16:14
13,759,00:18:47
14,762,00:18:49
15,781,00:19:16
16,832,00:20:35
17,861,00:21:12
18,979,00:24:06
19,988,00:24:12
20,1002,00:24:38
21,1013,00:25:01
22,1032,00:25:26
23,1059,00:25:58
24,1066,00:26:03
25,1067,00:26:05
26,1071,00:26:22
27,1072,00:26:25
28,1093,00:26:48
29,1118,00:27:43
30,1199,00:29:41
31,1212,00:29:54
32,1221,00:30:01
33,1465,00:36:19
34,1477,00:36:22
35,1649,00:40:27
36,1652,00:40:31
37,1658,00:40:32
38,1676,00:41:10
39,1680,00:41:11
40,1692,00:41:32
41,1690,00:41:34
42,1698,00:41:42
43,1723,00:42:10
44,1729,00:42:16
45,1731,00:42:25
46,1738,00:42:29
47,1742,00:42:36
48,1752,00:42:51
49,1804,00:44:11
50,1826,00:44:33
51,1916,00:46:26
52,1917,00:46:30
53,1924,00:46:49
54,1930,00:46:50
55,1927,00:46:50
56,1928,00:46:51
57,1932,00:46:52
58,1963,00:47:32
59,1993,00:48:07
60,2000,00:48:14
61,2010,00:48:20
62,2009,00:48:21
63,2021,00:48:32
64,2060,00:49:32
65,2075,00:49:36
66,2073,00:49:38
67,2097,00:50:03
68,2096,00:50:04
69,2092,00:50:05
70,2137,00:50:48
71,2148,00:51:05
72,2161,00:51:22
73,2429,00:55:55
74,2502,00:56:56
75,2506,00:56:57
76,2509,00:57:00
77,2540,00:57:30
78,2539,00:57:30
79,2550,00:57:34
80,2548,00:57:36
81,2556,00:57:53
82,2555,00:57:53
83,2569,00:58:01
84,2596,00:58:18
85,2597,00:58:18
86,2595,00:58:32
87,2638,00:58:52
88,2684,00:59:28
89,2681,00:59:31
90,2675,00:59:31
91,2746,01:00:25
92,3133,01:05:07
93,3141,01:05:11
94,3145,01:05:17
95,3152,01:05:18
96,3337,01:07:13
97,4025,01:13:45
98,5705,01:26:17
99,5719,01:26:19
