highest,episode,time
1,18,00:00:14
2,73,00:00:29
3,72,00:00:30
4,106,00:00:36
5,143,00:00:47
6,167,00:00:55
7,179,00:01:00
8,173,00:01:01
9,182,00:01:03
10,199,00:01:09
11,198,00:01:09
12,216,00:01:21
13,218,00:01:21
14,234,00:01:25
15,238,00:01:28
16,249,00:01:32
17,254,00:01:35
18,256,00:01:35
19,257,00:01:37
20,263,00:01:37
21,258,00:01:38
22,279,00:01:42
23,451,00:02:48
24,462,00:02:48
25,470,00:02:52
26,478,00:02:53
27,488,00:02:57
28,490,00:02:57
29,480,00:02:59
30,493,00:02:59
31,500,00:02:59
32,494,00:03:00
33,506,00:03:03
34,501,00:03:03
35,495,00:03:03
36,516,00:03:07
37,559,00:03:20
38,557,00:03:20
39,577,00:03:25
40,576,00:03:25
41,567,00:03:26
42,585,00:03:28
43,587,00:03:31
44,595,00:03:31
45,624,00:03:40
46,621,00:03:41
47,623,00:03:41
48,637,00:03:43
49,627,00:03:43
50,650,00:03:50
51,661,00:03:52
52,651,00:03:52
53,653,00:03:52
54,822,00:04:43
55,825,00:04:43
56,821,00:04:44
57,829,00:04:51
58,857,00:04:51
59,867,00:04:54
60,872,00:04:59
61,890,00:05:01
62,892,00:05:02
63,893,00:05:02
64,887,00:05:07
65,895,00:05:08
66,916,00:05:08
67,908,00:05:08
68,907,00:05:09
69,903,00:05:10
70,917,00:05:11
71,943,00:05:19
72,955,00:05:19
73,958,00:05:22
74,947,00:05:23
75,1428,00:07:13
76,1431,00:07:14
77,1444,00:07:17
78,1448,00:07:20
79,1446,00:07:22
80,1461,00:07:23
81,1462,00:07:23
82,1457,00:07:23
83,1472,00:07:23
84,1467,00:07:23
85,1490,00:07:28
86,1502,00:07:31
87,1505,00:07:31
88,1510,00:07:33
89,1522,00:07:33
90,2453,00:10:30
91,3622,00:14:17
92,5059,00:18:40
93,5079,00:18:45
94,5326,00:19:27
95,8513,00:28:28
96,8697,00:29:03
97,16244,00:49:32
