highest,episode,time
1,29,00:00:44
2,30,00:00:44
3,47,00:01:52
4,50,00:01:54
5,53,00:02:04
6,65,00:02:48
7,66,00:02:50
8,70,00:02:53
9,77,00:03:02
10,85,00:03:10
11,87,00:03:12
12,88,00:03:13
13,90,00:03:16
14,91,00:03:20
15,92,00:03:20
16,93,00:03:21
17,99,00:03:50
18,100,00:03:50
19,104,00:04:04
20,108,00:04:17
21,112,00:04:42
22,113,00:04:43
23,118,00:04:50
24,119,00:04:51
25,125,00:04:55
26,126,00:04:57
27,129,00:04:58
28,131,00:04:59
29,133,00:05:02
30,148,00:05:42
31,158,00:05:54
32,173,00:06:41
33,174,00:06:43
34,176,00:06:44
35,181,00:06:54
36,195,00:07:13
37,197,00:07:14
38,199,00:07:14
39,287,00:10:13
40,334,00:11:44
41,335,00:11:44
42,336,00:11:44
43,360,00:12:09
44,368,00:12:39
45,369,00:12:46
46,375,00:12:57
47,377,00:12:58
48,378,00:13:00
49,390,00:13:27
