highest,episode,time
1,43,00:00:33
2,69,00:00:51
3,68,00:00:52
4,55,00:01:11
5,86,00:01:13
6,117,00:03:29
7,138,00:03:52
8,165,00:04:11
9,194,00:04:16
10,378,00:10:44
11,380,00:11:02
12,399,00:11:04
13,404,00:11:11
14,418,00:11:26
15,429,00:13:37
16,564,00:17:44
17,576,00:17:45
18,573,00:17:46
19,568,00:17:46
20,582,00:17:46
21,579,00:17:49
22,617,00:20:23
23,643,00:20:52
24,629,00:20:53
25,734,00:24:06
26,861,00:28:23
27,876,00:30:45
28,885,00:30:49
29,879,00:30:49
30,897,00:31:05
31,1096,00:41:11
32,1102,00:41:17
33,1143,00:41:31
34,1263,00:47:46
35,1282,00:47:46
36,1272,00:47:52
37,1277,00:47:52
38,1297,00:47:54
39,1279,00:48:22
40,1353,00:48:50
41,1707,01:05:06
42,1723,01:05:10
43,1715,01:05:10
44,1726,01:05:14
45,1729,01:05:14
46,1727,01:05:22
47,1889,01:11:46
48,1923,01:12:05
49,1922,01:12:05
50,1928,01:12:09
51,2464,01:29:35
52,2470,01:29:40
53,2462,01:31:54
54,2505,01:32:19
55,2484,01:32:19
56,2501,01:32:27
57,2479,01:32:30
58,2646,01:36:03
59,2647,01:36:06
60,2631,01:36:14
61,2688,01:38:43
62,2704,01:38:46
63,2686,01:38:47
64,2696,01:38:49
65,2651,01:38:52
66,2681,01:38:53
67,2723,01:39:05
68,3653,02:06:31
69,3640,02:06:37
70,3659,02:06:43
71,5632,03:00:37
72,5624,03:00:39
73,5811,03:04:29
74,5829,03:04:29
75,5854,03:04:31
76,5945,03:07:25
77,5920,03:07:26
78,6222,03:14:17
79,6217,03:14:18
80,6252,03:14:55
