highest,episode,time
1,25,00:00:01
2,26,00:00:01
3,30,00:00:01
4,33,00:00:10
5,38,00:00:15
6,39,00:00:20
7,40,00:00:22
8,46,00:00:44
9,51,00:01:19
10,58,00:01:35
11,61,00:01:41
12,63,00:01:45
13,69,00:02:15
14,72,00:02:15
15,78,00:02:17
16,79,00:02:19
17,81,00:02:21
18,84,00:02:23
19,91,00:02:31
20,92,00:02:34
21,93,00:02:34
22,94,00:02:36
23,96,00:02:41
24,97,00:02:41
25,98,00:02:45
26,101,00:03:12
27,103,00:03:16
28,105,00:03:22
29,114,00:03:40
30,122,00:04:07
31,125,00:04:10
32,126,00:04:18
33,161,00:05:16
34,168,00:05:34
35,182,00:06:10
36,245,00:08:24
37,249,00:08:25
38,254,00:08:35
39,256,00:08:46
40,259,00:09:06
41,283,00:09:44
42,303,00:10:34
43,710,00:26:01
44,711,00:26:04
45,714,00:26:10
46,716,00:26:17
47,718,00:26:21
48,720,00:26:25
49,722,00:26:25
50,723,00:26:28
51,724,00:26:32
52,725,00:26:52
