highest,episode,time
1,22,00:00:10
2,5,00:00:14
3,6,00:00:28
4,20,00:00:32
5,90,00:01:01
6,211,00:04:22
7,225,00:04:39
8,254,00:07:10
9,287,00:07:30
10,264,00:07:40
11,315,00:07:42
12,304,00:07:43
13,317,00:08:04
14,321,00:10:20
15,355,00:10:28
16,346,00:10:30
17,345,00:10:33
18,350,00:10:36
19,356,00:10:40
20,405,00:11:06
21,585,00:17:33
22,499,00:17:35
23,568,00:18:03
24,623,00:20:20
25,639,00:20:37
26,668,00:20:39
27,671,00:20:44
28,706,00:21:21
29,896,00:28:06
30,897,00:28:06
31,880,00:28:07
32,957,00:30:55
33,945,00:30:55
34,954,00:30:55
35,946,00:30:55
36,943,00:30:57
37,1909,01:04:21
38,1921,01:04:23
39,1945,01:04:32
40,1952,01:04:42
41,1957,01:04:43
42,1978,01:04:47
43,2085,01:08:19
44,2098,01:08:27
45,2092,01:08:28
46,2015,01:08:38
47,2467,01:22:04
48,2532,01:22:07
49,3231,01:44:50
50,3252,01:44:54
51,3256,01:44:54
52,3267,01:44:57
53,3270,01:45:02
54,3305,01:45:28
55,3647,01:55:13
56,3617,01:55:14
57,4254,02:12:35
58,4253,02:12:35
59,4248,02:12:36
60,4243,02:12:44
61,5254,02:43:07
62,5202,02:45:26
63,5266,02:45:27
64,5269,02:45:41
65,5307,02:46:02
66,6211,03:12:30
67,7059,03:36:26
68,8210,04:07:18
69,8239,04:07:42
70,8826,04:24:05
71,9012,04:28:02
72,9017,04:28:08
73,10108,04:57:59
74,10115,04:58:04
75,10079,04:58:04
76,10117,04:58:05
77,11693,05:39:06
78,13501,06:26:12
79,13514,06:26:14
