highest,episode,time
1,25,00:00:04
2,28,00:00:04
3,29,00:00:05
4,32,00:00:09
5,34,00:00:20
6,35,00:00:20
7,36,00:00:21
8,38,00:00:22
9,46,00:01:25
10,48,00:01:28
11,58,00:02:02
12,71,00:02:11
13,76,00:02:20
14,78,00:02:21
15,83,00:02:26
16,86,00:02:32
17,90,00:03:00
18,92,00:03:01
19,93,00:03:02
20,95,00:03:03
21,101,00:03:23
22,102,00:03:23
23,107,00:03:29
24,111,00:03:37
25,114,00:03:56
26,118,00:03:59
27,120,00:04:00
28,122,00:04:03
29,129,00:04:13
30,132,00:04:15
31,163,00:05:15
32,165,00:05:25
33,166,00:05:25
34,167,00:05:25
35,168,00:05:25
36,169,00:05:27
37,173,00:05:31
38,175,00:05:31
39,180,00:05:35
40,575,00:21:07
41,613,00:22:31
42,879,00:32:11
43,880,00:32:13
44,929,00:33:32
45,1020,00:36:40
46,1026,00:37:13
47,1027,00:37:15
48,1707,00:57:31
49,1719,00:57:40
50,1732,00:57:56
51,1733,00:57:59
52,1737,00:58:28
53,1739,00:58:34
54,1744,00:58:49
55,1746,00:58:51
56,1761,00:59:06
57,1765,00:59:35
58,1770,00:59:36
59,1772,00:59:40
60,2167,01:11:29
61,2201,01:12:06
62,2203,01:12:06
63,3203,01:35:11
64,3204,01:35:11
65,3206,01:35:15
66,3210,01:35:19
67,3214,01:35:24
68,3215,01:35:25
69,3217,01:35:27
70,4023,01:52:01
71,4024,01:52:02
72,5247,02:15:27
73,5250,02:15:28
74,5255,02:15:31
75,10802,03:58:42
76,14310,05:02:45
77,20917,06:58:58
